,PICARD_PCT,RIKER_PCT,DATA_PCT,WORF_PCT,TROI_PCT,BEVERLY_PCT,GEORDI_PCT,Q_PCT,LORE_PCT,WESLEY_PCT,GUINAN_PCT,TASHA_PCT,PULASKI_PCT,RATING
91,50.34,5.01,4.21,31.69,0.0,0.0,0.0,0.0,0.0,0.0,8.75,0.0,0.0,8.40000000000005
92,53.56,3.76,20.18,9.93,1.54,1.5,2.09,0.0,0.0,0.0,7.44,0.0,0.0,8.300000000000026
93,22.55,9.15,22.24,3.45,5.15,2.69,34.77,0.0,0.0,0.0,0.0,0.0,0.0,8.5
94,16.04,4.22,6.21,2.07,2.23,49.31,6.62,3.54,0.0,9.75,0.0,0.0,0.0,7.800000000000035
95,48.95,5.86,3.31,32.72,0.25,6.01,2.2,0.0,0.0,0.7,0.0,0.0,0.0,8.30000000000004
96,23.01,8.11,16.36,47.59,1.2,2.54,1.2,0.0,0.0,0.0,0.0,0.0,0.0,7.20000000000001
97,25.97,26.29,10.44,5.57,3.23,0.0,15.98,0.0,0.0,8.37,0.0,0.0,4.14,6.400000000000057
98,49.48,11.03,9.8,0.93,7.19,9.46,6.3,0.0,0.0,5.81,0.0,0.0,0.0,8.099999999999946
99,11.18,16.47,19.49,4.55,7.39,7.28,33.63,0.0,0.0,0.0,0.0,0.0,0.0,7.599999999999957
100,14.57,34.12,11.81,3.42,26.32,5.67,4.09,0.0,0.0,0.0,0.0,0.0,0.0,7.599999999999946
101,48.0,8.25,23.73,1.59,1.63,2.73,14.06,0.0,0.0,0.0,0.0,0.0,0.0,8.5
102,25.41,20.11,39.59,3.39,2.58,3.46,5.45,0.0,0.0,0.0,0.0,0.0,0.0,7.199999999999986
103,37.57,13.78,6.18,28.38,0.67,3.44,7.91,0.0,0.0,2.07,0.0,0.0,0.0,8.199999999999966
104,30.19,12.29,11.69,9.03,7.8,7.61,2.56,0.0,0.0,0.73,0.0,18.1,0.0,6.8000000000000185
105,36.3,18.61,19.43,2.98,4.52,9.77,8.38,0.0,0.0,0.0,0.0,0.0,0.0,7.900000000000048
106,14.46,1.06,9.65,1.17,8.59,47.24,7.05,10.77,0.0,0.0,0.0,0.0,0.0,5.099999999999974
107,48.7,9.22,8.5,4.99,13.93,11.71,0.58,0.0,0.0,2.36,0.0,0.0,0.0,6.5
108,13.96,3.56,7.46,3.0,0.7,62.44,1.28,0.0,0.0,0.0,7.6,0.0,0.0,6.900000000000052
109,38.27,10.72,12.21,2.77,1.4,15.6,1.92,0.0,0.0,2.93,0.0,14.17,0.0,6.900000000000054
110,47.31,5.07,0.72,1.27,1.78,2.78,3.14,37.92,0.0,0.0,0.0,0.0,0.0,8.800000000000047
111,25.77,19.39,9.22,5.74,1.38,3.56,23.17,0.0,0.0,0.0,0.0,11.78,0.0,7.099999999999946
112,37.48,21.11,11.25,2.22,4.99,12.11,3.27,0.0,0.0,4.88,0.0,2.71,0.0,6.800000000000028
113,25.76,33.98,7.22,7.53,4.6,1.62,13.04,0.0,0.0,3.58,2.68,0.0,0.0,9.300000000000061
114,1.8,44.33,19.61,4.79,4.51,8.8,4.4,0.0,0.0,3.27,8.49,0.0,0.0,9.199999999999953
115,39.07,14.87,22.84,0.58,2.82,7.05,6.85,0.0,0.0,3.11,0.0,2.82,0.0,7.3000000000000185
116,25.87,7.33,7.08,14.41,29.16,3.79,5.54,0.0,0.0,6.83,0.0,0.0,0.0,6.599999999999953
117,52.12,6.92,11.17,3.58,2.84,10.71,5.75,6.92,0.0,0.0,0.0,0.0,0.0,7.900000000000056
118,28.01,13.72,7.31,1.41,11.44,0.0,7.85,0.0,0.0,6.78,3.93,0.0,19.54,5.699999999999994
119,19.52,12.54,11.04,7.11,4.15,0.0,8.6,0.0,0.0,26.58,5.78,0.0,4.67,6.099999999999951
120,40.81,15.99,23.79,4.28,1.22,2.19,11.74,0.0,0.0,0.0,0.0,0.0,0.0,8.400000000000057
121,54.75,4.36,5.65,19.64,1.79,7.09,6.7,0.0,0.0,0.0,0.0,0.0,0.0,8.30000000000004
122,19.27,15.49,17.13,29.68,6.05,0.0,8.06,0.0,0.0,0.0,0.0,0.0,4.32,7.5
123,32.0,11.89,5.06,8.96,0.56,13.71,25.32,0.0,0.0,2.5,0.0,0.0,0.0,7.800000000000037
124,26.6,13.69,42.83,3.96,6.46,2.25,2.6,0.0,0.0,1.6,0.0,0.0,0.0,7.4000000000000545
125,41.48,2.41,3.51,1.4,0.21,15.18,6.38,0.0,0.0,29.43,0.0,0.0,0.0,7.800000000000012
126,15.2,15.07,9.29,3.14,3.37,7.92,9.59,0.0,0.0,36.42,0.0,0.0,0.0,7.4000000000000545
127,29.61,11.68,15.33,2.19,2.19,28.07,4.18,0.0,0.0,6.73,0.0,0.0,0.0,6.800000000000002
128,18.49,23.32,5.54,2.92,7.6,41.24,0.89,0.0,0.0,0.0,0.0,0.0,0.0,6.5
